Age,Gender,Education_Level,Current_Field,Mathematical_Skills,Communication_Skills,Coding_Knowledge,Creativity_Level,Analytical_Thinking,Leadership_Skills,Problem_Solving_Skills,Research_Writing_Skills,Technical_Experience,Interest_Area,Work_Preference,Work_Environment,Self_Employment_Interest,Entrepreneurial_Mindset,Internship_Experience,Freelance_Experience,Job_Experience_Years,Certifications_Completed,Extracurricular_Activities,Risk_Taking_Ability,Teamwork_Individual_Pref,Stress_Handling_Ability,Adaptability_to_New_Tech,Best_Suited_Profession
19,Female,Diploma,Arts,10,2,No,9,8,3,10,9,2,Technology,Remote,Research Lab,Yes,6,0,Yes,1,8,Yes,3,Balanced,3,5,Lawyer
47,Other,Bachelor's,Business,9,4,Yes,1,10,1,2,10,2,Engineering,Remote,Government,No,2,2,Yes,20,7,Yes,3,Teamwork,2,5,Research Scientist
23,Other,Diploma,Engineering,2,4,No,4,2,9,9,4,1,Sports,On-Site,Corporate,No,9,1,Yes,10,7,No,5,Teamwork,7,8,Artist
39,Other,Master’s,Medicine,1,5,Yes,6,4,10,10,7,9,Medicine,Remote,Corporate,No,6,3,No,7,8,No,8,Teamwork,9,2,Doctor
27,Male,PhD,Business,7,1,No,2,2,9,3,2,1,Social Work,Remote,Freelance,Yes,8,5,Yes,15,2,No,1,Teamwork,5,10,Artist
21,Male,Diploma,Engineering,8,2,Yes,1,5,9,2,1,2,Sports,Hybrid,Freelance,No,9,3,Yes,9,5,Yes,8,Balanced,8,2,Mechanical Engineer
39,Female,Bachelor's,Sports,3,8,Yes,4,3,9,1,8,5,Science,Hybrid,Corporate,Yes,10,3,Yes,0,8,No,6,Individual,9,9,Doctor
46,Female,PhD,Medicine,2,8,Yes,3,10,8,3,7,7,Science,Remote,Startup,No,10,0,Yes,17,2,No,10,Teamwork,5,10,Doctor
48,Female,Diploma,Arts,4,8,No,7,10,5,6,5,9,Arts,On-Site,Freelance,Yes,3,2,Yes,18,6,No,1,Individual,3,10,Mechanical Engineer
35,Female,High School,Arts,2,5,No,7,3,9,10,10,1,Medicine,On-Site,Government,No,1,1,Yes,15,4,No,8,Teamwork,6,1,Data Scientist
43,Male,Diploma,Science,2,8,Yes,10,5,7,1,4,8,Engineering,Hybrid,Research Lab,No,10,3,No,12,4,No,6,Teamwork,5,2,Digital Marketer
29,Female,Master’s,Arts,5,9,No,7,4,2,2,2,1,Arts,Hybrid,Freelance,Yes,4,0,No,19,2,Yes,1,Teamwork,5,8,Artist
19,Female,PhD,Science,10,4,No,9,6,7,9,6,9,Medicine,Remote,Startup,Yes,5,1,Yes,6,9,No,1,Balanced,6,7,Lawyer
27,Other,Master’s,Arts,5,4,Yes,9,5,4,1,5,10,Medicine,On-Site,Research Lab,Yes,6,4,Yes,2,9,No,4,Balanced,8,1,Entrepreneur
47,Female,High School,Arts,8,7,Yes,4,10,7,1,10,2,Medicine,Hybrid,Startup,Yes,6,4,Yes,14,8,No,10,Teamwork,7,4,Mechanical Engineer
21,Female,High School,Arts,9,5,No,9,5,7,9,9,3,Science,On-Site,Startup,Yes,3,5,No,2,3,Yes,3,Individual,8,5,Business Analyst
31,Female,Master’s,Science,2,10,Yes,7,3,3,3,10,10,Arts,Hybrid,Research Lab,No,5,3,No,9,10,Yes,3,Teamwork,5,9,Software Engineer
48,Male,PhD,Sports,1,1,No,6,4,3,6,2,4,Technology,On-Site,Freelance,Yes,7,5,Yes,5,0,Yes,7,Balanced,9,1,Mechanical Engineer
33,Other,High School,Science,3,8,Yes,9,3,10,3,5,3,Technology,Hybrid,Corporate,Yes,8,0,No,2,10,Yes,10,Teamwork,4,10,Doctor
32,Female,High School,Business,6,4,Yes,4,3,10,2,3,2,Business,Remote,Research Lab,Yes,8,1,Yes,16,8,Yes,3,Teamwork,7,10,Lawyer
25,Female,Diploma,Engineering,5,8,Yes,1,10,6,3,5,5,Social Work,On-Site,Research Lab,Yes,3,5,Yes,12,9,Yes,1,Teamwork,2,3,Artist
31,Other,Bachelor's,Engineering,8,2,Yes,6,9,2,10,5,2,Science,On-Site,Corporate,Yes,2,2,No,15,9,Yes,2,Teamwork,5,4,Digital Marketer
40,Female,High School,Sports,8,4,Yes,1,10,8,4,5,2,Technology,On-Site,Research Lab,No,6,2,Yes,7,3,No,7,Individual,5,7,Lawyer
45,Male,PhD,Engineering,2,2,Yes,10,6,8,1,8,8,Sports,On-Site,Government,Yes,9,1,Yes,1,3,No,5,Individual,9,9,Doctor
42,Female,PhD,Arts,9,5,Yes,9,10,4,3,5,2,Technology,Remote,Freelance,Yes,8,4,No,6,3,Yes,10,Individual,4,7,Mechanical Engineer
47,Male,Diploma,Sports,4,10,Yes,5,2,2,7,6,8,Arts,On-Site,Corporate,No,3,3,Yes,3,5,No,10,Balanced,4,3,Mechanical Engineer
25,Male,PhD,Engineering,1,10,No,2,1,9,2,1,8,Business,On-Site,Freelance,Yes,2,2,No,19,8,Yes,10,Individual,1,9,Artist
38,Female,Diploma,Science,2,8,No,8,3,9,7,4,1,Sports,Hybrid,Corporate,No,4,0,No,6,1,No,8,Balanced,9,5,Mechanical Engineer
33,Other,High School,Business,6,7,No,10,3,2,4,2,5,Arts,Hybrid,Research Lab,Yes,1,0,Yes,12,4,Yes,6,Individual,10,5,Research Scientist
30,Male,High School,Medicine,5,5,No,6,4,10,7,2,9,Sports,On-Site,Research Lab,Yes,3,5,Yes,19,3,Yes,7,Individual,8,10,Business Analyst
35,Other,High School,Business,7,7,No,3,4,4,3,1,8,Science,Remote,Freelance,No,2,0,Yes,15,0,Yes,8,Balanced,2,5,Research Scientist
32,Female,High School,Engineering,9,5,No,2,5,1,7,6,10,Arts,Remote,Startup,No,1,0,Yes,20,10,Yes,8,Balanced,6,4,Data Scientist
38,Male,Bachelor's,Sports,6,7,No,10,4,6,10,3,9,Medicine,On-Site,Government,Yes,9,1,Yes,12,4,No,2,Teamwork,5,10,Lawyer
41,Female,Bachelor's,Engineering,6,4,No,4,2,1,7,2,3,Social Work,Hybrid,Freelance,Yes,10,1,No,8,2,No,10,Individual,2,2,Doctor
43,Other,High School,Science,2,4,No,1,1,7,3,8,2,Engineering,Hybrid,Research Lab,No,1,1,Yes,5,7,Yes,6,Balanced,5,7,Research Scientist
42,Female,PhD,Business,7,10,Yes,1,10,9,6,5,1,Arts,Hybrid,Freelance,Yes,6,1,No,19,1,Yes,7,Individual,10,8,Data Scientist
45,Female,Diploma,Science,2,4,No,5,7,9,9,10,8,Science,Remote,Freelance,Yes,6,2,No,0,0,Yes,2,Individual,1,4,Mechanical Engineer
45,Male,Master’s,Science,7,8,No,10,9,2,7,1,8,Sports,On-Site,Research Lab,No,6,3,No,9,1,Yes,3,Teamwork,4,10,Artist
45,Female,Diploma,Medicine,8,1,Yes,9,9,8,5,1,8,Business,Remote,Startup,Yes,9,2,No,18,9,Yes,1,Teamwork,8,10,Business Analyst
30,Female,Master’s,Science,1,10,No,5,1,3,1,2,3,Arts,Remote,Corporate,Yes,6,3,Yes,6,6,No,1,Teamwork,7,3,Mechanical Engineer
26,Female,Master’s,Science,9,5,Yes,6,9,5,8,3,1,Technology,Hybrid,Startup,No,7,0,No,7,6,No,8,Teamwork,1,6,Business Analyst
46,Male,High School,Medicine,8,10,Yes,10,1,4,4,2,9,Sports,Remote,Research Lab,No,3,5,Yes,11,4,No,9,Teamwork,6,6,Data Scientist
32,Other,Master’s,Arts,9,2,No,9,1,6,2,2,7,Science,Remote,Freelance,No,10,2,Yes,10,9,No,6,Teamwork,9,4,Business Analyst
30,Other,High School,Arts,5,10,No,3,2,7,9,5,6,Social Work,On-Site,Government,No,2,2,Yes,15,8,Yes,7,Teamwork,3,5,Data Scientist
18,Female,Bachelor's,Sports,4,4,Yes,4,10,9,3,7,7,Technology,Hybrid,Corporate,Yes,8,4,Yes,4,5,Yes,3,Individual,9,4,Data Scientist
42,Male,PhD,Medicine,1,5,No,2,6,10,6,1,6,Engineering,Remote,Freelance,Yes,4,5,Yes,14,5,Yes,2,Balanced,3,4,Research Scientist
24,Female,Master’s,Sports,9,8,No,4,9,5,3,1,4,Arts,On-Site,Startup,No,2,3,No,5,2,No,4,Teamwork,4,4,Entrepreneur
26,Other,PhD,Sports,4,2,No,8,5,2,7,2,2,Engineering,Remote,Corporate,Yes,10,0,No,12,1,No,4,Balanced,9,1,Lawyer
41,Male,High School,Science,4,2,No,2,9,4,2,2,1,Business,On-Site,Government,Yes,4,1,Yes,18,8,No,8,Balanced,9,5,Lawyer
18,Other,Master’s,Sports,4,2,Yes,4,9,2,4,1,9,Engineering,Hybrid,Startup,Yes,5,5,No,9,4,Yes,2,Balanced,7,2,Lawyer
29,Other,Diploma,Engineering,2,8,Yes,8,8,1,10,9,2,Business,On-Site,Corporate,Yes,9,0,Yes,4,7,No,10,Balanced,10,3,Digital Marketer
25,Male,Bachelor's,Business,4,3,No,7,7,2,9,10,6,Arts,Remote,Freelance,Yes,8,5,No,1,0,No,8,Teamwork,6,5,Artist
41,Male,Bachelor's,Engineering,2,5,No,9,3,7,8,7,8,Science,On-Site,Government,No,2,3,Yes,3,9,Yes,4,Balanced,5,8,Artist
48,Female,Master’s,Engineering,8,2,No,2,10,2,8,10,7,Sports,Remote,Freelance,Yes,1,2,No,19,5,Yes,2,Individual,8,8,Digital Marketer
28,Female,Bachelor's,Science,7,6,Yes,4,3,4,8,7,9,Medicine,Remote,Research Lab,No,1,0,Yes,7,0,No,3,Teamwork,2,10,Lawyer
36,Other,Diploma,Business,10,10,No,9,4,5,7,6,9,Sports,On-Site,Government,Yes,1,0,No,9,10,Yes,9,Teamwork,4,7,Business Analyst
34,Male,PhD,Sports,2,6,No,6,9,3,6,6,4,Arts,Remote,Corporate,Yes,3,1,No,6,1,Yes,3,Individual,10,10,Lawyer
25,Male,Diploma,Business,2,2,Yes,9,3,4,8,6,9,Social Work,Hybrid,Research Lab,No,6,4,Yes,7,3,No,8,Teamwork,8,4,Lawyer
20,Female,Bachelor's,Sports,2,4,Yes,9,8,10,7,2,10,Social Work,On-Site,Research Lab,No,8,0,Yes,20,0,Yes,4,Teamwork,9,2,Lawyer
20,Other,PhD,Arts,1,2,No,7,8,3,1,10,2,Arts,Remote,Freelance,No,6,2,No,6,3,No,3,Balanced,9,8,Research Scientist
18,Other,Diploma,Medicine,6,10,Yes,7,6,8,6,7,1,Business,On-Site,Corporate,Yes,4,1,Yes,3,8,No,10,Individual,9,3,Doctor
44,Female,High School,Science,6,4,No,8,2,10,8,4,6,Arts,Hybrid,Startup,Yes,3,5,Yes,6,1,Yes,5,Balanced,6,3,Data Scientist
22,Male,High School,Sports,1,7,Yes,2,6,8,5,2,4,Arts,On-Site,Research Lab,No,6,4,No,16,7,Yes,6,Teamwork,4,6,Business Analyst
27,Female,PhD,Sports,1,5,Yes,10,4,3,6,9,4,Business,On-Site,Government,No,9,1,No,3,10,Yes,9,Individual,5,9,Research Scientist
24,Female,PhD,Business,6,10,Yes,7,7,9,2,7,10,Business,Remote,Government,No,4,3,No,4,9,Yes,2,Teamwork,10,3,Mechanical Engineer
43,Female,PhD,Science,6,4,Yes,6,1,9,2,6,10,Science,On-Site,Startup,No,3,0,No,19,10,No,8,Individual,8,6,Data Scientist
26,Female,High School,Sports,4,10,Yes,7,3,7,2,5,1,Technology,On-Site,Research Lab,No,5,3,Yes,9,2,No,7,Teamwork,2,10,Artist
45,Male,Diploma,Arts,3,10,Yes,6,8,1,6,10,6,Arts,Remote,Startup,Yes,6,1,Yes,16,0,Yes,8,Individual,5,9,Entrepreneur
24,Female,PhD,Engineering,9,3,No,3,1,10,5,3,3,Medicine,Hybrid,Government,No,7,3,No,20,8,No,2,Balanced,1,6,Business Analyst
26,Male,High School,Sports,6,6,No,5,10,3,6,1,7,Medicine,On-Site,Government,No,4,0,No,1,4,No,6,Individual,5,10,Entrepreneur
25,Female,PhD,Business,1,2,Yes,3,3,8,6,5,1,Arts,Hybrid,Corporate,No,2,4,No,4,7,Yes,7,Teamwork,5,1,Lawyer
29,Other,PhD,Arts,3,4,Yes,6,3,6,4,4,8,Arts,Hybrid,Research Lab,Yes,8,1,Yes,15,6,Yes,3,Individual,2,2,Digital Marketer
19,Male,PhD,Science,1,8,No,3,8,9,7,9,9,Engineering,Remote,Freelance,No,6,3,No,13,0,No,8,Balanced,4,3,Business Analyst
