Age,Gender,Education_Level,Current_Field,Mathematical_Skills,Communication_Skills,Coding_Knowledge,Creativity_Level,Analytical_Thinking,Leadership_Skills,Problem_Solving_Skills,Research_Writing_Skills,Technical_Experience,Interest_Area,Work_Preference,Work_Environment,Self_Employment_Interest,Entrepreneurial_Mindset,Freelance_Experience,Job_Experience_Years,Certifications_Completed,Extracurricular_Activities,Risk_Taking_Ability,Teamwork_Individual_Pref,Stress_Handling_Ability,Adaptability_to_New_Tech,Best_Suited_Profession
31,Male,PhD,Medicine,Medium,Medium,No,Low,Medium,Medium,High,High,Low,Medicine,Remote,Startup,Yes,High,No,1,4,Yes,Medium,Individual,Medium,High,Doctor
35,Other,PhD,Sports,Medium,High,No,Medium,Medium,Low,Medium,Low,Low,Technology,Hybrid,Government,No,High,No,7,7,Yes,Medium,Balanced,Medium,High,Doctor
43,Other,Bachelor's,Science,Medium,Low,No,High,Low,Low,Medium,High,Medium,Medicine,On-Site,Government,Yes,High,Yes,3,7,No,Low,Teamwork,High,High,Lawyer
26,Other,Bachelor's,Engineering,Low,Medium,Yes,Low,High,Low,Low,High,Medium,Arts,Remote,Corporate,No,Medium,No,8,1,No,Medium,Teamwork,Low,Low,Business Analyst
43,Male,Diploma,Medicine,Low,Low,Yes,Low,Low,Medium,Medium,High,Low,Engineering,Hybrid,Corporate,Yes,Medium,Yes,7,3,Yes,Medium,Individual,High,High,Lawyer
38,Other,PhD,Medicine,Medium,Medium,Yes,Low,High,Medium,High,Medium,Medium,Sports,Remote,Freelance,No,High,No,12,6,No,High,Balanced,Medium,Low,Data Scientist
19,Male,Master’s,Medicine,High,Low,Yes,Low,Medium,Medium,Medium,High,High,Sports,On-Site,Freelance,Yes,Low,No,1,6,No,High,Individual,Medium,Low,Software Engineer
37,Female,PhD,Arts,Medium,Low,Yes,Medium,Medium,High,High,Medium,High,Medicine,On-Site,Government,No,Medium,Yes,5,4,No,Low,Individual,Low,Low,Entrepreneur
45,Female,Bachelor's,Science,Medium,High,Yes,Medium,Medium,High,High,Medium,Medium,Science,On-Site,Corporate,No,High,Yes,12,6,No,Medium,Individual,Medium,Medium,Software Engineer
32,Other,PhD,Medicine,Low,High,Yes,Medium,High,Low,Low,Low,Medium,Engineering,Remote,Research Lab,Yes,High,No,11,0,Yes,Medium,Teamwork,Medium,Medium,Data Scientist
45,Male,Bachelor's,Arts,High,Low,No,Low,Low,Medium,Medium,Medium,Medium,Medicine,Remote,Government,Yes,High,No,12,0,Yes,Medium,Teamwork,Medium,High,Business Analyst
24,Female,Diploma,Engineering,Medium,Medium,No,Low,High,Low,High,Low,Low,Social Work,Hybrid,Freelance,No,Medium,Yes,6,5,No,Medium,Balanced,Medium,Low,Entrepreneur
29,Male,Diploma,Engineering,Medium,Low,Yes,Low,High,Low,Low,High,Medium,Arts,On-Site,Startup,No,High,Yes,5,7,No,Medium,Teamwork,High,Medium,Digital Marketer
46,Male,Diploma,Sports,High,Medium,No,Low,Low,Medium,Medium,High,Medium,Sports,Remote,Research Lab,No,Medium,Yes,12,5,Yes,Medium,Teamwork,Low,Low,Lawyer
25,Female,Master’s,Sports,Medium,Medium,Yes,High,High,High,Medium,Low,High,Medicine,Remote,Research Lab,Yes,Medium,Yes,2,0,Yes,High,Balanced,Medium,Low,Business Analyst
32,Male,Master’s,Sports,Medium,High,Yes,Medium,Low,Medium,Low,Medium,Medium,Social Work,Remote,Government,No,Low,No,11,10,Yes,High,Balanced,High,Low,Digital Marketer
20,Female,Bachelor's,Arts,High,Medium,Yes,High,Medium,Medium,Low,Medium,High,Engineering,Hybrid,Freelance,No,Medium,Yes,2,3,No,High,Balanced,High,Low,Research Scientist
31,Female,High School,Engineering,Low,Medium,Yes,Low,Medium,Medium,Medium,Low,Low,Engineering,Hybrid,Research Lab,No,Low,Yes,12,4,Yes,Medium,Individual,Medium,High,Artist
34,Female,Master’s,Sports,High,High,No,Low,Medium,High,Medium,Medium,High,Arts,On-Site,Startup,Yes,Medium,No,3,10,No,Low,Individual,Medium,Medium,Business Analyst
21,Male,Bachelor's,Business,Low,Medium,Yes,Low,Medium,Medium,Low,Low,Medium,Sports,On-Site,Corporate,No,Medium,No,3,8,No,High,Balanced,Low,Low,Artist
35,Female,PhD,Sports,Medium,Medium,Yes,Medium,High,Medium,Medium,Low,Low,Technology,Remote,Government,Yes,Low,Yes,5,4,Yes,High,Balanced,Low,Medium,Research Scientist
25,Male,Diploma,Engineering,Medium,Low,Yes,Low,High,Low,Medium,High,Medium,Business,On-Site,Freelance,Yes,Medium,No,4,0,Yes,Low,Teamwork,Medium,Low,Digital Marketer
21,Female,Diploma,Business,Medium,Medium,No,Low,Low,Low,Medium,Medium,High,Business,Remote,Freelance,Yes,Low,No,3,3,Yes,Low,Balanced,High,Medium,Research Scientist
19,Female,Diploma,Arts,High,Low,No,High,High,Low,High,High,Low,Technology,Remote,Research Lab,Yes,Medium,Yes,1,8,Yes,Low,Balanced,Low,Medium,Lawyer
47,Other,Bachelor's,Business,High,Medium,Yes,Low,High,Low,Low,High,Low,Engineering,Remote,Government,No,Low,Yes,12,7,Yes,Low,Teamwork,Low,Medium,Research Scientist
23,Other,Diploma,Engineering,Low,Medium,No,Medium,Low,High,High,Medium,Low,Sports,On-Site,Corporate,No,High,Yes,5,7,No,Medium,Teamwork,Medium,High,Artist
39,Other,Master’s,Medicine,Low,Medium,Yes,Medium,Medium,High,High,Medium,High,Medicine,Remote,Corporate,No,Medium,No,7,8,No,High,Teamwork,High,Low,Doctor
27,Male,PhD,Business,Medium,Low,No,Low,Low,High,Low,Low,Low,Social Work,Remote,Freelance,Yes,High,Yes,9,2,No,Low,Teamwork,Medium,High,Artist
21,Male,Diploma,Engineering,High,Low,Yes,Low,Medium,High,Low,Low,Low,Sports,Hybrid,Freelance,No,High,Yes,3,5,Yes,High,Balanced,High,Low,Mechanical Engineer
39,Female,Bachelor's,Sports,Low,High,Yes,Medium,Low,High,Low,High,Medium,Science,Hybrid,Corporate,Yes,High,Yes,0,8,No,Medium,Individual,High,High,Doctor
46,Female,PhD,Medicine,Low,High,Yes,Low,High,High,Low,Medium,Medium,Science,Remote,Startup,No,High,Yes,12,2,No,High,Teamwork,Medium,High,Doctor
48,Female,Diploma,Arts,Medium,High,No,Medium,High,Medium,Medium,Medium,High,Arts,On-Site,Freelance,Yes,Low,Yes,12,6,No,Low,Individual,Low,High,Mechanical Engineer
35,Female,High School,Arts,Low,Medium,No,Medium,Low,High,High,High,Low,Medicine,On-Site,Government,No,Low,Yes,12,4,No,High,Teamwork,Medium,Low,Data Scientist
43,Male,Diploma,Science,Low,High,Yes,High,Medium,Medium,Low,Medium,High,Engineering,Hybrid,Research Lab,No,High,No,12,4,No,Medium,Teamwork,Medium,Low,Digital Marketer
29,Female,Master’s,Arts,Medium,High,No,Medium,Medium,Low,Low,Low,Low,Arts,Hybrid,Freelance,Yes,Medium,No,11,2,Yes,Low,Teamwork,Medium,High,Artist
19,Female,PhD,Science,High,Medium,No,High,Medium,Medium,High,Medium,High,Medicine,Remote,Startup,Yes,Medium,Yes,1,9,No,Low,Balanced,Medium,Medium,Lawyer
27,Other,Master’s,Arts,Medium,Medium,Yes,High,Medium,Medium,Low,Medium,High,Medicine,On-Site,Research Lab,Yes,Medium,Yes,2,9,No,Medium,Balanced,High,Low,Entrepreneur
47,Female,High School,Arts,High,Medium,Yes,Medium,High,Medium,Low,High,Low,Medicine,Hybrid,Startup,Yes,Medium,Yes,12,8,No,High,Teamwork,Medium,Medium,Mechanical Engineer
21,Female,High School,Arts,High,Medium,No,High,Medium,Medium,High,High,Low,Science,On-Site,Startup,Yes,Low,No,2,3,Yes,Low,Individual,High,Medium,Business Analyst
31,Female,Master’s,Science,Low,High,Yes,Medium,Low,Low,Low,High,High,Arts,Hybrid,Research Lab,No,Medium,No,9,10,Yes,Low,Teamwork,Medium,High,Software Engineer
48,Male,PhD,Sports,Low,Low,No,Medium,Medium,Low,Medium,Low,Medium,Technology,On-Site,Freelance,Yes,Medium,Yes,5,0,Yes,Medium,Balanced,High,Low,Mechanical Engineer
33,Other,High School,Science,Low,High,Yes,High,Low,High,Low,Medium,Low,Technology,Hybrid,Corporate,Yes,High,No,2,10,Yes,High,Teamwork,Medium,High,Doctor
32,Female,High School,Business,Medium,Medium,Yes,Medium,Low,High,Low,Low,Low,Business,Remote,Research Lab,Yes,High,Yes,12,8,Yes,Low,Teamwork,Medium,High,Lawyer
25,Female,Diploma,Engineering,Medium,High,Yes,Low,High,Medium,Low,Medium,Medium,Social Work,On-Site,Research Lab,Yes,Low,Yes,7,9,Yes,Low,Teamwork,Low,Low,Artist
31,Other,Bachelor's,Engineering,High,Low,Yes,Medium,High,Low,High,Medium,Low,Science,On-Site,Corporate,Yes,Low,No,12,9,Yes,Low,Teamwork,Medium,Medium,Digital Marketer
40,Female,High School,Sports,High,Medium,Yes,Low,High,High,Medium,Medium,Low,Technology,On-Site,Research Lab,No,Medium,Yes,7,3,No,Medium,Individual,Medium,Medium,Lawyer
45,Male,PhD,Engineering,Low,Low,Yes,High,Medium,High,Low,High,High,Sports,On-Site,Government,Yes,High,Yes,1,3,No,Medium,Individual,High,High,Doctor
42,Female,PhD,Arts,High,Medium,Yes,High,High,Medium,Low,Medium,Low,Technology,Remote,Freelance,Yes,High,No,6,3,Yes,High,Individual,Medium,Medium,Mechanical Engineer
47,Male,Diploma,Sports,Medium,High,Yes,Medium,Low,Low,Medium,Medium,High,Arts,On-Site,Corporate,No,Low,Yes,3,5,No,High,Balanced,Medium,Low,Mechanical Engineer
25,Male,PhD,Engineering,Low,High,No,Low,Low,High,Low,Low,High,Business,On-Site,Freelance,Yes,Low,No,7,8,Yes,High,Individual,Low,High,Artist
38,Female,Diploma,Science,Low,High,No,High,Low,High,Medium,Medium,Low,Sports,Hybrid,Corporate,No,Medium,No,6,1,No,High,Balanced,High,Medium,Mechanical Engineer
33,Other,High School,Business,Medium,Medium,No,High,Low,Low,Medium,Low,Medium,Arts,Hybrid,Research Lab,Yes,Low,Yes,12,4,Yes,Medium,Individual,High,Medium,Research Scientist
30,Male,High School,Medicine,Medium,Medium,No,Medium,Medium,High,Medium,Low,High,Sports,On-Site,Research Lab,Yes,Low,Yes,12,3,Yes,Medium,Individual,High,High,Business Analyst
35,Other,High School,Business,Medium,Medium,No,Low,Medium,Medium,Low,Low,High,Science,Remote,Freelance,No,Low,Yes,12,0,Yes,High,Balanced,Low,Medium,Research Scientist
32,Female,High School,Engineering,High,Medium,No,Low,Medium,Low,Medium,Medium,High,Arts,Remote,Startup,No,Low,Yes,12,10,Yes,High,Balanced,Medium,Medium,Data Scientist
38,Male,Bachelor's,Sports,Medium,Medium,No,High,Medium,Medium,High,Low,High,Medicine,On-Site,Government,Yes,High,Yes,12,4,No,Low,Teamwork,Medium,High,Lawyer
41,Female,Bachelor's,Engineering,Medium,Medium,No,Medium,Low,Low,Medium,Low,Low,Social Work,Hybrid,Freelance,Yes,High,No,8,2,No,High,Individual,Low,Low,Doctor
43,Other,High School,Science,Low,Medium,No,Low,Low,Medium,Low,High,Low,Engineering,Hybrid,Research Lab,No,Low,Yes,5,7,Yes,Medium,Balanced,Medium,Medium,Research Scientist
42,Female,PhD,Business,Medium,High,Yes,Low,High,High,Medium,Medium,Low,Arts,Hybrid,Freelance,Yes,Medium,No,12,1,Yes,Medium,Individual,High,High,Data Scientist
45,Female,Diploma,Science,Low,Medium,No,Medium,Medium,High,High,High,High,Science,Remote,Freelance,Yes,Medium,No,0,0,Yes,Low,Individual,Low,Medium,Mechanical Engineer
45,Male,Master’s,Science,Medium,High,No,High,High,Low,Medium,Low,High,Sports,On-Site,Research Lab,No,Medium,No,9,1,Yes,Low,Teamwork,Medium,High,Artist
45,Female,Diploma,Medicine,High,Low,Yes,High,High,High,Medium,Low,High,Business,Remote,Startup,Yes,High,No,12,9,Yes,Low,Teamwork,High,High,Business Analyst
30,Female,Master’s,Science,Low,High,No,Medium,Low,Low,Low,Low,Low,Arts,Remote,Corporate,Yes,Medium,Yes,6,6,No,Low,Teamwork,Medium,Low,Mechanical Engineer
26,Female,Master’s,Science,High,Medium,Yes,Medium,High,Medium,High,Low,Low,Technology,Hybrid,Startup,No,Medium,No,7,6,No,High,Teamwork,Low,Medium,Business Analyst
46,Male,High School,Medicine,High,High,Yes,High,Low,Medium,Medium,Low,High,Sports,Remote,Research Lab,No,Low,Yes,11,4,No,High,Teamwork,Medium,Medium,Data Scientist
32,Other,Master’s,Arts,High,Low,No,High,Low,Medium,Low,Low,Medium,Science,Remote,Freelance,No,High,Yes,10,9,No,Medium,Teamwork,High,Medium,Business Analyst
30,Other,High School,Arts,Medium,High,No,Low,Low,Medium,High,Medium,Medium,Social Work,On-Site,Government,No,Low,Yes,12,8,Yes,Medium,Teamwork,Low,Medium,Data Scientist
18,Female,Bachelor's,Sports,Medium,Medium,Yes,Medium,High,High,Low,Medium,Medium,Technology,Hybrid,Corporate,Yes,High,Yes,0,5,Yes,Low,Individual,High,Medium,Data Scientist
42,Male,PhD,Medicine,Low,Medium,No,Low,Medium,High,Medium,Low,Medium,Engineering,Remote,Freelance,Yes,Medium,Yes,12,5,Yes,Low,Balanced,Low,Medium,Research Scientist
24,Female,Master’s,Sports,High,High,No,Medium,High,Medium,Low,Low,Medium,Arts,On-Site,Startup,No,Low,No,5,2,No,Medium,Teamwork,Medium,Medium,Entrepreneur
26,Other,PhD,Sports,Medium,Low,No,High,Medium,Low,Medium,Low,Low,Engineering,Remote,Corporate,Yes,High,No,8,1,No,Medium,Balanced,High,Low,Lawyer
41,Male,High School,Science,Medium,Low,No,Low,High,Medium,Low,Low,Low,Business,On-Site,Government,Yes,Medium,Yes,12,8,No,High,Balanced,High,Medium,Lawyer
18,Other,Master’s,Sports,Medium,Low,Yes,Medium,High,Low,Medium,Low,High,Engineering,Hybrid,Startup,Yes,Medium,No,0,4,Yes,Low,Balanced,Medium,Low,Lawyer
29,Other,Diploma,Engineering,Low,High,Yes,High,High,Low,High,High,Low,Business,On-Site,Corporate,Yes,High,Yes,4,7,No,High,Balanced,High,Low,Digital Marketer
25,Male,Bachelor's,Business,Medium,Low,No,Medium,Medium,Low,High,High,Medium,Arts,Remote,Freelance,Yes,High,No,1,0,No,High,Teamwork,Medium,Medium,Artist
